date,views,destination
2022-05-01,1304,Mirissa
2022-06-01,1250,Mirissa
2022-07-01,1462,Mirissa
2022-08-01,1035,Mirissa
2022-09-01,983,Mirissa
2022-10-01,971,Mirissa
2022-11-01,1240,Mirissa
2022-12-01,1214,Mirissa
2023-01-01,1410,Mirissa
2023-02-01,1164,Mirissa
2023-03-01,1439,Mirissa
2023-04-01,1325,Mirissa
2023-05-01,1113,Mirissa
2023-06-01,1093,Mirissa
2023-07-01,1225,Mirissa
2023-08-01,1462,Mirissa
2023-09-01,1539,Mirissa
2023-10-01,1809,Mirissa
2023-11-01,2495,Mirissa
2023-12-01,3112,Mirissa
2024-01-01,2939,Mirissa
2024-02-01,2297,Mirissa
2024-03-01,2146,Mirissa
2024-04-01,2047,Mirissa
2024-05-01,1451,Mirissa
2024-06-01,1133,Mirissa
2024-07-01,1353,Mirissa
2024-08-01,1497,Mirissa
2024-09-01,1482,Mirissa
2024-10-01,1780,Mirissa
2024-11-01,1831,Mirissa
2024-12-01,2554,Mirissa
2025-01-01,3276,Mirissa
2025-02-01,2722,Mirissa
2025-03-01,2814,Mirissa
2025-04-01,2112,Mirissa
2025-05-01,1786,Mirissa
2025-06-01,1726,Mirissa
2025-07-01,2007,Mirissa
2025-08-01,2196,Mirissa
2025-09-01,1898,Mirissa
2025-10-01,2092,Mirissa
2025-11-01,1970,Mirissa
2025-12-01,1813,Mirissa
2026-01-01,2470,Mirissa
2026-02-01,2150,Mirissa
2026-03-01,1466,Mirissa
2026-04-01,1325,Mirissa
2026-05-01,1315,Mirissa
2026-06-01,1077,Mirissa
2026-07-01,1171,Mirissa
2019-01-01,4179,Horton Plains
2019-02-01,3894,Horton Plains
2019-03-01,3811,Horton Plains
2019-04-01,3671,Horton Plains
2019-05-01,1917,Horton Plains
2019-06-01,2671,Horton Plains
2019-07-01,5118,Horton Plains
2019-08-01,3666,Horton Plains
2019-09-01,3631,Horton Plains
2019-10-01,3018,Horton Plains
2019-11-01,2676,Horton Plains
2019-12-01,3429,Horton Plains
2020-01-01,3682,Horton Plains
2020-02-01,4102,Horton Plains
2020-03-01,2588,Horton Plains
2020-04-01,2064,Horton Plains
2020-05-01,2032,Horton Plains
2020-06-01,2336,Horton Plains
2020-07-01,2522,Horton Plains
2020-08-01,2655,Horton Plains
2020-09-01,3946,Horton Plains
2020-10-01,1883,Horton Plains
2020-11-01,2438,Horton Plains
2020-12-01,2522,Horton Plains
2021-01-01,2404,Horton Plains
2021-02-01,2476,Horton Plains
2021-03-01,3141,Horton Plains
2021-04-01,2745,Horton Plains
2021-05-01,2537,Horton Plains
2021-06-01,2755,Horton Plains
2021-07-01,3423,Horton Plains
2021-08-01,2516,Horton Plains
2021-09-01,3280,Horton Plains
2021-10-01,3574,Horton Plains
2021-11-01,4167,Horton Plains
2021-12-01,4564,Horton Plains
2022-01-01,4864,Horton Plains
2022-02-01,3647,Horton Plains
2022-03-01,3688,Horton Plains
2022-04-01,2369,Horton Plains
2022-05-01,2526,Horton Plains
2022-06-01,2243,Horton Plains
2022-07-01,2509,Horton Plains
2022-08-01,3664,Horton Plains
2022-09-01,3190,Horton Plains
2022-10-01,3876,Horton Plains
2022-11-01,4309,Horton Plains
2022-12-01,3157,Horton Plains
2023-01-01,3726,Horton Plains
2023-02-01,3542,Horton Plains
2023-03-01,3462,Horton Plains
2023-04-01,3076,Horton Plains
2023-05-01,3806,Horton Plains
2023-06-01,4267,Horton Plains
2023-07-01,4459,Horton Plains
2023-08-01,5339,Horton Plains
2023-09-01,4384,Horton Plains
2023-10-01,3880,Horton Plains
2023-11-01,4377,Horton Plains
2023-12-01,5236,Horton Plains
2024-01-01,5823,Horton Plains
2024-02-01,4695,Horton Plains
2024-03-01,4193,Horton Plains
2024-04-01,4012,Horton Plains
2024-05-01,3014,Horton Plains
2024-06-01,2519,Horton Plains
2024-07-01,3107,Horton Plains
2024-08-01,3226,Horton Plains
2024-09-01,3134,Horton Plains
2024-10-01,2940,Horton Plains
2024-11-01,2812,Horton Plains
2024-12-01,3279,Horton Plains
2025-01-01,3396,Horton Plains
2025-02-01,2903,Horton Plains
2025-03-01,2886,Horton Plains
2025-04-01,2672,Horton Plains
2025-05-01,2166,Horton Plains
2025-06-01,1811,Horton Plains
2025-07-01,2256,Horton Plains
2025-08-01,2266,Horton Plains
2025-09-01,2162,Horton Plains
2025-10-01,4093,Horton Plains
2025-11-01,2444,Horton Plains
2025-12-01,1721,Horton Plains
2026-01-01,2080,Horton Plains
2026-02-01,1920,Horton Plains
2026-03-01,1568,Horton Plains
2026-04-01,1653,Horton Plains
2026-05-01,1627,Horton Plains
2026-06-01,1593,Horton Plains
2026-07-01,1583,Horton Plains
2019-01-01,558,Nilaveli
2019-02-01,609,Nilaveli
2019-03-01,585,Nilaveli
2019-04-01,579,Nilaveli
2019-05-01,312,Nilaveli
2019-06-01,336,Nilaveli
2019-07-01,470,Nilaveli
2019-08-01,542,Nilaveli
2019-09-01,483,Nilaveli
2019-10-01,524,Nilaveli
2019-11-01,404,Nilaveli
2019-12-01,460,Nilaveli
2020-01-01,553,Nilaveli
2020-02-01,514,Nilaveli
2020-03-01,399,Nilaveli
2020-04-01,303,Nilaveli
2020-05-01,339,Nilaveli
2020-06-01,323,Nilaveli
2020-07-01,318,Nilaveli
2020-08-01,588,Nilaveli
2020-09-01,401,Nilaveli
2020-10-01,253,Nilaveli
2020-11-01,645,Nilaveli
2020-12-01,341,Nilaveli
2021-01-01,361,Nilaveli
2021-02-01,461,Nilaveli
2021-03-01,536,Nilaveli
2021-04-01,335,Nilaveli
2021-05-01,293,Nilaveli
2021-06-01,322,Nilaveli
2021-07-01,283,Nilaveli
2021-08-01,259,Nilaveli
2021-09-01,306,Nilaveli
2021-10-01,307,Nilaveli
2021-11-01,364,Nilaveli
2021-12-01,404,Nilaveli
2022-01-01,473,Nilaveli
2022-02-01,399,Nilaveli
2022-03-01,417,Nilaveli
2022-04-01,253,Nilaveli
2022-05-01,249,Nilaveli
2022-06-01,252,Nilaveli
2022-07-01,268,Nilaveli
2022-08-01,370,Nilaveli
2022-09-01,345,Nilaveli
2022-10-01,329,Nilaveli
2022-11-01,284,Nilaveli
2022-12-01,229,Nilaveli
2023-01-01,281,Nilaveli
2023-02-01,476,Nilaveli
2023-03-01,491,Nilaveli
2023-04-01,321,Nilaveli
2023-05-01,399,Nilaveli
2023-06-01,449,Nilaveli
2023-07-01,486,Nilaveli
2023-08-01,505,Nilaveli
2023-09-01,392,Nilaveli
2023-10-01,330,Nilaveli
2023-11-01,281,Nilaveli
2023-12-01,355,Nilaveli
2024-01-01,387,Nilaveli
2024-02-01,328,Nilaveli
2024-03-01,336,Nilaveli
2024-04-01,395,Nilaveli
2024-05-01,342,Nilaveli
2024-06-01,300,Nilaveli
2024-07-01,409,Nilaveli
2024-08-01,525,Nilaveli
2024-09-01,340,Nilaveli
2024-10-01,281,Nilaveli
2024-11-01,299,Nilaveli
2024-12-01,325,Nilaveli
2025-01-01,358,Nilaveli
2025-02-01,297,Nilaveli
2025-03-01,385,Nilaveli
2025-04-01,320,Nilaveli
2025-05-01,332,Nilaveli
2025-06-01,292,Nilaveli
2025-07-01,415,Nilaveli
2025-08-01,476,Nilaveli
2025-09-01,335,Nilaveli
2025-10-01,269,Nilaveli
2025-11-01,230,Nilaveli
2025-12-01,172,Nilaveli
2026-01-01,277,Nilaveli
2026-02-01,254,Nilaveli
2026-03-01,216,Nilaveli
2026-04-01,202,Nilaveli
2026-05-01,288,Nilaveli
2026-06-01,284,Nilaveli
2026-07-01,325,Nilaveli
2019-01-01,1135,Bambarakanda
2019-02-01,1178,Bambarakanda
2019-03-01,1089,Bambarakanda
2019-04-01,1209,Bambarakanda
2019-05-01,711,Bambarakanda
2019-06-01,1046,Bambarakanda
2019-07-01,1416,Bambarakanda
2019-08-01,1227,Bambarakanda
2019-09-01,1089,Bambarakanda
2019-10-01,1127,Bambarakanda
2019-11-01,923,Bambarakanda
2019-12-01,986,Bambarakanda
2020-01-01,985,Bambarakanda
2020-02-01,1177,Bambarakanda
2020-03-01,907,Bambarakanda
2020-04-01,972,Bambarakanda
2020-05-01,1122,Bambarakanda
2020-06-01,1020,Bambarakanda
2020-07-01,1151,Bambarakanda
2020-08-01,1224,Bambarakanda
2020-09-01,1424,Bambarakanda
2020-10-01,937,Bambarakanda
2020-11-01,728,Bambarakanda
2020-12-01,913,Bambarakanda
2021-01-01,957,Bambarakanda
2021-02-01,1165,Bambarakanda
2021-03-01,1590,Bambarakanda
2021-04-01,1122,Bambarakanda
2021-05-01,1165,Bambarakanda
2021-06-01,1336,Bambarakanda
2021-07-01,1317,Bambarakanda
2021-08-01,1258,Bambarakanda
2021-09-01,1651,Bambarakanda
2021-10-01,1468,Bambarakanda
2021-11-01,1439,Bambarakanda
2021-12-01,1451,Bambarakanda
2022-01-01,1685,Bambarakanda
2022-02-01,1176,Bambarakanda
2022-03-01,978,Bambarakanda
2022-04-01,691,Bambarakanda
2022-05-01,947,Bambarakanda
2022-06-01,846,Bambarakanda
2022-07-01,1031,Bambarakanda
2022-08-01,1046,Bambarakanda
2022-09-01,1298,Bambarakanda
2022-10-01,1223,Bambarakanda
2022-11-01,1536,Bambarakanda
2022-12-01,1188,Bambarakanda
2023-01-01,1168,Bambarakanda
2023-02-01,1064,Bambarakanda
2023-03-01,1234,Bambarakanda
2023-04-01,975,Bambarakanda
2023-05-01,1379,Bambarakanda
2023-06-01,1450,Bambarakanda
2023-07-01,1484,Bambarakanda
2023-08-01,1635,Bambarakanda
2023-09-01,1575,Bambarakanda
2023-10-01,1333,Bambarakanda
2023-11-01,1118,Bambarakanda
2023-12-01,1263,Bambarakanda
2024-01-01,1407,Bambarakanda
2024-02-01,1228,Bambarakanda
2024-03-01,1276,Bambarakanda
2024-04-01,1217,Bambarakanda
2024-05-01,1062,Bambarakanda
2024-06-01,779,Bambarakanda
2024-07-01,1088,Bambarakanda
2024-08-01,1129,Bambarakanda
2024-09-01,966,Bambarakanda
2024-10-01,843,Bambarakanda
2024-11-01,878,Bambarakanda
2024-12-01,986,Bambarakanda
2025-01-01,962,Bambarakanda
2025-02-01,851,Bambarakanda
2025-03-01,799,Bambarakanda
2025-04-01,741,Bambarakanda
2025-05-01,811,Bambarakanda
2025-06-01,773,Bambarakanda
2025-07-01,825,Bambarakanda
2025-08-01,811,Bambarakanda
2025-09-01,676,Bambarakanda
2025-10-01,659,Bambarakanda
2025-11-01,675,Bambarakanda
2025-12-01,587,Bambarakanda
2026-01-01,689,Bambarakanda
2026-02-01,553,Bambarakanda
2026-03-01,551,Bambarakanda
2026-04-01,570,Bambarakanda
2026-05-01,602,Bambarakanda
2026-06-01,537,Bambarakanda
2026-07-01,482,Bambarakanda
2019-01-01,1206,Knuckles
2019-02-01,1179,Knuckles
2019-03-01,1188,Knuckles
2019-04-01,1032,Knuckles
2019-05-01,694,Knuckles
2019-06-01,840,Knuckles
2019-07-01,1150,Knuckles
2019-08-01,1086,Knuckles
2019-09-01,1068,Knuckles
2019-10-01,1059,Knuckles
2019-11-01,1098,Knuckles
2019-12-01,1172,Knuckles
2020-01-01,1137,Knuckles
2020-02-01,1275,Knuckles
2020-03-01,1050,Knuckles
2020-04-01,1044,Knuckles
2020-05-01,1019,Knuckles
2020-06-01,1027,Knuckles
2020-07-01,1074,Knuckles
2020-08-01,1017,Knuckles
2020-09-01,1122,Knuckles
2020-10-01,878,Knuckles
2020-11-01,947,Knuckles
2020-12-01,1332,Knuckles
2021-01-01,979,Knuckles
2021-02-01,1455,Knuckles
2021-03-01,1304,Knuckles
2021-04-01,1086,Knuckles
2021-05-01,897,Knuckles
2021-06-01,974,Knuckles
2021-07-01,1182,Knuckles
2021-08-01,1483,Knuckles
2021-09-01,1055,Knuckles
2021-10-01,1131,Knuckles
2021-11-01,1235,Knuckles
2021-12-01,1193,Knuckles
2022-01-01,1512,Knuckles
2022-02-01,1185,Knuckles
2022-03-01,1043,Knuckles
2022-04-01,1030,Knuckles
2022-05-01,745,Knuckles
2022-06-01,729,Knuckles
2022-07-01,802,Knuckles
2022-08-01,899,Knuckles
2022-09-01,1060,Knuckles
2022-10-01,1223,Knuckles
2022-11-01,1172,Knuckles
2022-12-01,1015,Knuckles
2023-01-01,1100,Knuckles
2023-02-01,1167,Knuckles
2023-03-01,1224,Knuckles
2023-04-01,1368,Knuckles
2023-05-01,1460,Knuckles
2023-06-01,1303,Knuckles
2023-07-01,1586,Knuckles
2023-08-01,1577,Knuckles
2023-09-01,1389,Knuckles
2023-10-01,1614,Knuckles
2023-11-01,1364,Knuckles
2023-12-01,1529,Knuckles
2024-01-01,1845,Knuckles
2024-02-01,1460,Knuckles
2024-03-01,1403,Knuckles
2024-04-01,1489,Knuckles
2024-05-01,1247,Knuckles
2024-06-01,1203,Knuckles
2024-07-01,1149,Knuckles
2024-08-01,1173,Knuckles
2024-09-01,1155,Knuckles
2024-10-01,940,Knuckles
2024-11-01,1061,Knuckles
2024-12-01,1281,Knuckles
2025-01-01,1335,Knuckles
2025-02-01,1123,Knuckles
2025-03-01,1152,Knuckles
2025-04-01,987,Knuckles
2025-05-01,966,Knuckles
2025-06-01,984,Knuckles
2025-07-01,984,Knuckles
2025-08-01,1088,Knuckles
2025-09-01,964,Knuckles
2025-10-01,1000,Knuckles
2025-11-01,925,Knuckles
2025-12-01,828,Knuckles
2026-01-01,791,Knuckles
2026-02-01,678,Knuckles
2026-03-01,611,Knuckles
2026-04-01,730,Knuckles
2026-05-01,757,Knuckles
2026-06-01,638,Knuckles
2026-07-01,727,Knuckles
2019-01-01,1328,Ritigala
2019-02-01,1266,Ritigala
2019-03-01,1088,Ritigala
2019-04-01,854,Ritigala
2019-05-01,462,Ritigala
2019-06-01,742,Ritigala
2019-07-01,846,Ritigala
2019-08-01,1529,Ritigala
2019-09-01,993,Ritigala
2019-10-01,1876,Ritigala
2019-11-01,2341,Ritigala
2019-12-01,1256,Ritigala
2020-01-01,1078,Ritigala
2020-02-01,1240,Ritigala
2020-03-01,841,Ritigala
2020-04-01,1076,Ritigala
2020-05-01,745,Ritigala
2020-06-01,888,Ritigala
2020-07-01,856,Ritigala
2020-08-01,889,Ritigala
2020-09-01,1446,Ritigala
2020-10-01,861,Ritigala
2020-11-01,1290,Ritigala
2020-12-01,1669,Ritigala
2021-01-01,1082,Ritigala
2021-02-01,2016,Ritigala
2021-03-01,879,Ritigala
2021-04-01,864,Ritigala
2021-05-01,597,Ritigala
2021-06-01,686,Ritigala
2021-07-01,863,Ritigala
2021-08-01,640,Ritigala
2021-09-01,777,Ritigala
2021-10-01,1011,Ritigala
2021-11-01,1026,Ritigala
2021-12-01,1233,Ritigala
2022-01-01,1411,Ritigala
2022-02-01,955,Ritigala
2022-03-01,1041,Ritigala
2022-04-01,491,Ritigala
2022-05-01,512,Ritigala
2022-06-01,571,Ritigala
2022-07-01,564,Ritigala
2022-08-01,711,Ritigala
2022-09-01,814,Ritigala
2022-10-01,727,Ritigala
2022-11-01,942,Ritigala
2022-12-01,1050,Ritigala
2023-01-01,988,Ritigala
2023-02-01,1197,Ritigala
2023-03-01,1169,Ritigala
2023-04-01,764,Ritigala
2023-05-01,1142,Ritigala
2023-06-01,1345,Ritigala
2023-07-01,1150,Ritigala
2023-08-01,1500,Ritigala
2023-09-01,1124,Ritigala
2023-10-01,1089,Ritigala
2023-11-01,1017,Ritigala
2023-12-01,1474,Ritigala
2024-01-01,1844,Ritigala
2024-02-01,1557,Ritigala
2024-03-01,1279,Ritigala
2024-04-01,1134,Ritigala
2024-05-01,1136,Ritigala
2024-06-01,948,Ritigala
2024-07-01,1286,Ritigala
2024-08-01,1344,Ritigala
2024-09-01,1294,Ritigala
2024-10-01,1165,Ritigala
2024-11-01,1280,Ritigala
2024-12-01,1389,Ritigala
2025-01-01,1380,Ritigala
2025-02-01,1011,Ritigala
2025-03-01,1148,Ritigala
2025-04-01,904,Ritigala
2025-05-01,793,Ritigala
2025-06-01,896,Ritigala
2025-07-01,929,Ritigala
2025-08-01,945,Ritigala
2025-09-01,681,Ritigala
2025-10-01,942,Ritigala
2025-11-01,779,Ritigala
2025-12-01,587,Ritigala
2026-01-01,1028,Ritigala
2026-02-01,899,Ritigala
2026-03-01,652,Ritigala
2026-04-01,545,Ritigala
2026-05-01,549,Ritigala
2026-06-01,539,Ritigala
2026-07-01,673,Ritigala
2019-01-01,583,Gal Oya
2019-02-01,372,Gal Oya
2019-03-01,444,Gal Oya
2019-04-01,418,Gal Oya
2019-05-01,276,Gal Oya
2019-06-01,301,Gal Oya
2019-07-01,389,Gal Oya
2019-08-01,359,Gal Oya
2019-09-01,307,Gal Oya
2019-10-01,328,Gal Oya
2019-11-01,360,Gal Oya
2019-12-01,454,Gal Oya
2020-01-01,416,Gal Oya
2020-02-01,306,Gal Oya
2020-03-01,288,Gal Oya
2020-04-01,372,Gal Oya
2020-05-01,313,Gal Oya
2020-06-01,278,Gal Oya
2020-07-01,370,Gal Oya
2020-08-01,283,Gal Oya
2020-09-01,639,Gal Oya
2020-10-01,306,Gal Oya
2020-11-01,237,Gal Oya
2020-12-01,295,Gal Oya
2021-01-01,301,Gal Oya
2021-02-01,260,Gal Oya
2021-03-01,314,Gal Oya
2021-04-01,368,Gal Oya
2021-05-01,352,Gal Oya
2021-06-01,242,Gal Oya
2021-07-01,289,Gal Oya
2021-08-01,259,Gal Oya
2021-09-01,225,Gal Oya
2021-10-01,309,Gal Oya
2021-11-01,305,Gal Oya
2021-12-01,303,Gal Oya
2022-01-01,420,Gal Oya
2022-02-01,415,Gal Oya
2022-03-01,337,Gal Oya
2022-04-01,264,Gal Oya
2022-05-01,244,Gal Oya
2022-06-01,222,Gal Oya
2022-07-01,206,Gal Oya
2022-08-01,287,Gal Oya
2022-09-01,260,Gal Oya
2022-10-01,348,Gal Oya
2022-11-01,301,Gal Oya
2022-12-01,309,Gal Oya
2023-01-01,356,Gal Oya
2023-02-01,362,Gal Oya
2023-03-01,396,Gal Oya
2023-04-01,359,Gal Oya
2023-05-01,436,Gal Oya
2023-06-01,346,Gal Oya
2023-07-01,447,Gal Oya
2023-08-01,358,Gal Oya
2023-09-01,299,Gal Oya
2023-10-01,347,Gal Oya
2023-11-01,304,Gal Oya
2023-12-01,397,Gal Oya
2024-01-01,577,Gal Oya
2024-02-01,358,Gal Oya
2024-03-01,423,Gal Oya
2024-04-01,314,Gal Oya
