destination,year,month,foreign_visitors,local_visitors,total_visitors,national_arrivals_month,season_month_index,data_basis
Sigiriya,2017,9,17149,24392,41541,145077,0.0709,official
Sigiriya,2017,10,18051,26089,44140,152429,0.0766,official
Sigiriya,2017,11,21595,29330,50925,167511,0.0905,official
Sigiriya,2017,12,27875,40388,68263,244536,0.1168,official
Sigiriya,2018,1,23703,34780,58483,238924,0.0911,official
Sigiriya,2018,2,21666,33732,55398,235618,0.0903,official
Sigiriya,2018,3,23342,32302,55644,233382,0.0894,official
Sigiriya,2018,4,18191,23883,42074,180429,0.0697,official
Sigiriya,2018,5,15035,21416,36451,129466,0.0581,official
Sigiriya,2018,6,17445,23022,40467,146828,0.0641,official
Sigiriya,2018,7,23901,33777,57678,217829,0.094,official
Sigiriya,2018,8,23704,32617,56321,200359,0.0886,official
Sigiriya,2018,9,18168,26243,44411,149087,0.0709,official
Sigiriya,2018,10,20007,28740,48747,153123,0.0766,official
Sigiriya,2018,11,23061,32657,55718,195582,0.0905,official
Sigiriya,2018,12,30051,40703,70754,253169,0.1168,official
Sigiriya,2019,1,19630,27454,47084,244239,0.0911,official
Sigiriya,2019,2,19284,26804,46088,252033,0.0903,official
Sigiriya,2019,3,18280,26390,44670,244328,0.0894,official
Sigiriya,2019,4,14722,20324,35046,166975,0.0697,official
Sigiriya,2019,5,12351,17586,29937,37802,0.0581,official
Sigiriya,2019,6,14472,19277,33749,63072,0.0641,official
Sigiriya,2019,7,20241,28057,48298,115701,0.094,official
Sigiriya,2019,8,17828,26463,44291,143587,0.0886,official
Sigiriya,2019,9,15165,22759,37924,108575,0.0709,official
Sigiriya,2019,10,16263,23108,39371,118743,0.0766,official
Sigiriya,2019,11,19297,26096,45393,176984,0.0905,official
Sigiriya,2019,12,25790,35696,61486,241663,0.1168,official
Sigiriya,2020,1,5280,7024,12304,228434,0.0911,official
Sigiriya,2020,2,5326,6855,12181,207507,0.0903,official
Sigiriya,2020,3,5149,7550,12699,71370,0.0894,official
Sigiriya,2020,4,3826,5426,9252,0,0.0697,official
Sigiriya,2020,5,3299,4536,7835,0,0.0581,official
Sigiriya,2020,6,3462,5094,8556,0,0.0641,official
Sigiriya,2020,7,5154,7560,12714,0,0.094,official
Sigiriya,2020,8,4876,7347,12223,0,0.0886,official
Sigiriya,2020,9,3918,5563,9481,0,0.0709,official
Sigiriya,2020,10,4442,5846,10288,0,0.0766,official
Sigiriya,2020,11,5155,7450,12605,0,0.0905,official
Sigiriya,2020,12,6291,9305,15596,0,0.1168,official
Sigiriya,2021,1,1992,2833,4825,1682,0.0911,official
Sigiriya,2021,2,1886,2634,4520,3366,0.0903,official
Sigiriya,2021,3,1970,2740,4710,4581,0.0894,official
Sigiriya,2021,4,1523,2138,3661,4168,0.0697,official
Sigiriya,2021,5,1235,1778,3013,1497,0.0581,official
Sigiriya,2021,6,1404,1907,3311,1614,0.0641,official
Sigiriya,2021,7,2155,2898,5053,2429,0.094,official
Sigiriya,2021,8,1853,2744,4597,5040,0.0886,official
Sigiriya,2021,9,1493,2204,3697,13547,0.0709,official
Sigiriya,2021,10,1720,2270,3990,22771,0.0766,official
Sigiriya,2021,11,2019,2782,4801,44294,0.0905,official
Sigiriya,2021,12,2596,3749,6345,89506,0.1168,official
Sigiriya,2022,1,7266,10016,17282,82327,0.0911,official
Sigiriya,2022,2,7060,9907,16967,96507,0.0903,official
Sigiriya,2022,3,7165,10158,17323,106500,0.0894,official
Sigiriya,2022,4,5642,8029,13671,62980,0.0697,official
Sigiriya,2022,5,4671,6822,11493,30207,0.0581,official
Sigiriya,2022,6,5112,7803,12915,32856,0.0641,official
Sigiriya,2022,7,7698,10307,18005,47293,0.094,official
Sigiriya,2022,8,6888,10108,16996,37760,0.0886,official
Sigiriya,2022,9,5657,8144,13801,29802,0.0709,official
Sigiriya,2022,10,6241,8597,14838,42026,0.0766,official
Sigiriya,2022,11,7083,9712,16795,59759,0.0905,official
Sigiriya,2022,12,9255,13471,22726,91961,0.1168,official
Sigiriya,2023,1,24984,55052,80036,102545,0.0911,official
Sigiriya,2023,2,24727,57327,82054,107639,0.0903,official
Sigiriya,2023,3,23711,56370,80081,125495,0.0894,official
Sigiriya,2023,4,19011,42222,61233,105498,0.0697,official
Sigiriya,2023,5,16004,37091,53095,83309,0.0581,official
Sigiriya,2023,6,18043,41532,59575,100388,0.0641,official
Sigiriya,2023,7,24567,57375,81942,143039,0.094,official
Sigiriya,2023,8,24508,56459,80967,136405,0.0886,official
Sigiriya,2023,9,19612,49636,69248,111938,0.0709,official
Sigiriya,2023,10,21227,49717,70944,109199,0.0766,official
Sigiriya,2023,11,25351,57886,83237,151496,0.0905,official
Sigiriya,2023,12,31512,74957,106469,210352,0.1168,official
Sigiriya,2024,1,20394,29022,49416,208253,0.0911,official
Sigiriya,2024,2,20388,29037,49425,218350,0.0903,official
Sigiriya,2024,3,21907,27073,48980,209181,0.0894,official
Sigiriya,2024,4,16290,21265,37555,148867,0.0697,official
Sigiriya,2024,5,13128,19253,32381,112128,0.0581,official
Sigiriya,2024,6,14726,19912,34638,113470,0.0641,official
Sigiriya,2024,7,21090,30789,51879,187810,0.094,official
Sigiriya,2024,8,19854,28603,48457,164609,0.0886,official
Sigiriya,2024,9,16266,22296,38562,122140,0.0709,official
Sigiriya,2024,10,18681,25041,43722,135907,0.0766,official
Sigiriya,2024,11,19468,29181,48649,184158,0.0905,official
Sigiriya,2024,12,26225,38416,64641,248592,0.1168,official
Sigiriya,2025,1,51825,45781,97606,252761,0.0911,official
Sigiriya,2025,2,53404,46706,100110,240217,0.0903,official
Sigiriya,2025,3,50211,44621,94832,229298,0.0894,official
Sigiriya,2025,4,40007,34432,74439,174608,0.0697,official
Sigiriya,2025,5,35654,29658,65312,132919,0.0581,official
Sigiriya,2025,6,35958,33230,69188,138241,0.0641,official
Sigiriya,2025,7,58290,48891,107181,200244,0.094,official
Sigiriya,2025,8,49261,44015,93276,198235,0.0886,official
Sigiriya,2025,9,42872,34982,77854,158971,0.0709,official
Sigiriya,2025,10,45225,39519,84744,165193,0.0766,official
Sigiriya,2025,11,51239,45526,96765,212906,0.0905,official
Sigiriya,2025,12,61416,57062,118478,287423,0.1168,official
Polonnaruwa,2015,1,4683,6358,11041,156246,0.0911,official
Polonnaruwa,2015,2,4905,6265,11170,165541,0.0903,official
Polonnaruwa,2015,3,4568,6507,11075,157051,0.0894,official
Polonnaruwa,2015,4,3763,4832,8595,122217,0.0697,official
Polonnaruwa,2015,5,3114,4215,7329,113529,0.0581,official
Polonnaruwa,2015,6,3224,4715,7939,115467,0.0641,official
Polonnaruwa,2015,7,4900,6696,11596,175804,0.094,official
Polonnaruwa,2015,8,4597,6348,10945,166610,0.0886,official
Polonnaruwa,2015,9,3683,5241,8924,143374,0.0709,official
Polonnaruwa,2015,10,4155,5347,9502,132280,0.0766,official
Polonnaruwa,2015,11,4984,6174,11158,144147,0.0905,official
Polonnaruwa,2015,12,6019,8615,14634,206114,0.1168,official
Polonnaruwa,2016,1,5426,7392,12818,194280,0.0911,official
Polonnaruwa,2016,2,5299,7354,12653,197697,0.0903,official
Polonnaruwa,2016,3,5186,7579,12765,192841,0.0894,official
Polonnaruwa,2016,4,4157,5639,9796,136367,0.0697,official
Polonnaruwa,2016,5,3524,4849,8373,125044,0.0581,official
Polonnaruwa,2016,6,3880,5403,9283,118038,0.0641,official
Polonnaruwa,2016,7,5416,7646,13062,209351,0.094,official
Polonnaruwa,2016,8,5349,7458,12807,186288,0.0886,official
Polonnaruwa,2016,9,4183,5881,10064,148499,0.0709,official
Polonnaruwa,2016,10,4697,6221,10918,150419,0.0766,official
Polonnaruwa,2016,11,5429,7433,12862,167217,0.0905,official
Polonnaruwa,2016,12,6850,9972,16822,224791,0.1168,official
Polonnaruwa,2017,1,19953,21480,41433,219360,0.0911,official
Polonnaruwa,2017,2,20050,20791,40841,197517,0.0903,official
Polonnaruwa,2017,3,19494,20381,39875,188076,0.0894,official
Polonnaruwa,2017,4,15030,15967,30997,160249,0.0697,official
Polonnaruwa,2017,5,12455,13613,26068,121891,0.0581,official
Polonnaruwa,2017,6,13370,15687,29057,123351,0.0641,official
Polonnaruwa,2017,7,19493,20857,40350,205482,0.094,official
Polonnaruwa,2017,8,19588,20870,40458,190928,0.0886,official
Polonnaruwa,2017,9,15432,16621,32053,145077,0.0709,official
Polonnaruwa,2017,10,16363,17153,33516,152429,0.0766,official
Polonnaruwa,2017,11,19374,20394,39768,167511,0.0905,official
Polonnaruwa,2017,12,25682,26752,52434,244536,0.1168,official
Polonnaruwa,2018,1,22856,23032,45888,238924,0.0911,official
Polonnaruwa,2018,2,23512,22656,46168,235618,0.0903,official
Polonnaruwa,2018,3,22427,22985,45412,233382,0.0894,official
Polonnaruwa,2018,4,18048,17509,35557,180429,0.0697,official
Polonnaruwa,2018,5,14737,14937,29674,129466,0.0581,official
Polonnaruwa,2018,6,15781,15680,31461,146828,0.0641,official
Polonnaruwa,2018,7,23671,23853,47524,217829,0.094,official
Polonnaruwa,2018,8,22998,23612,46610,200359,0.0886,official
Polonnaruwa,2018,9,18702,18007,36709,149087,0.0709,official
Polonnaruwa,2018,10,19691,18963,38654,153123,0.0766,official
Polonnaruwa,2018,11,23254,22889,46143,195582,0.0905,official
Polonnaruwa,2018,12,30324,29063,59387,253169,0.1168,official
Polonnaruwa,2019,1,5099,7353,12452,244239,0.0911,official
Polonnaruwa,2019,2,4959,7050,12009,252033,0.0903,official
Polonnaruwa,2019,3,5028,6814,11842,244328,0.0894,official
Polonnaruwa,2019,4,3864,5376,9240,166975,0.0697,official
Polonnaruwa,2019,5,3212,4379,7591,37802,0.0581,official
Polonnaruwa,2019,6,3537,5022,8559,63072,0.0641,official
Polonnaruwa,2019,7,5409,7465,12874,115701,0.094,official
Polonnaruwa,2019,8,5197,6677,11874,143587,0.0886,official
Polonnaruwa,2019,9,4008,5499,9507,108575,0.0709,official
Polonnaruwa,2019,10,4498,5766,10264,118743,0.0766,official
Polonnaruwa,2019,11,4859,6853,11712,176984,0.0905,official
Polonnaruwa,2019,12,6024,8866,14890,241663,0.1168,official
Polonnaruwa,2020,1,201,4778,4979,228434,0.0911,official
Polonnaruwa,2020,2,206,4979,5185,207507,0.0903,official
Polonnaruwa,2020,3,208,4586,4794,71370,0.0894,official
Polonnaruwa,2020,4,153,3690,3843,0,0.0697,official
Polonnaruwa,2020,5,126,3200,3326,0,0.0581,official
Polonnaruwa,2020,6,150,3301,3451,0,0.0641,official
Polonnaruwa,2020,7,201,5109,5310,0,0.094,official
Polonnaruwa,2020,8,199,4796,4995,0,0.0886,official
Polonnaruwa,2020,9,152,3634,3786,0,0.0709,official
Polonnaruwa,2020,10,173,4004,4177,0,0.0766,official
Polonnaruwa,2020,11,202,4810,5012,0,0.0905,official
Polonnaruwa,2020,12,255,6069,6324,0,0.1168,official
Polonnaruwa,2021,1,512,725,1237,1682,0.0911,official
Polonnaruwa,2021,2,516,684,1200,3366,0.0903,official
Polonnaruwa,2021,3,477,727,1204,4581,0.0894,official
Polonnaruwa,2021,4,394,533,927,4168,0.0697,official
Polonnaruwa,2021,5,340,457,797,1497,0.0581,official
Polonnaruwa,2021,6,371,503,874,1614,0.0641,official
Polonnaruwa,2021,7,559,776,1335,2429,0.094,official
Polonnaruwa,2021,8,492,714,1206,5040,0.0886,official
Polonnaruwa,2021,9,404,578,982,13547,0.0709,official
Polonnaruwa,2021,10,416,612,1028,22771,0.0766,official
Polonnaruwa,2021,11,522,671,1193,44294,0.0905,official
Polonnaruwa,2021,12,630,859,1489,89506,0.1168,official
Polonnaruwa,2022,1,1873,2701,4574,82327,0.0911,official
Polonnaruwa,2022,2,1956,2626,4582,96507,0.0903,official
Polonnaruwa,2022,3,1944,2487,4431,106500,0.0894,official
Polonnaruwa,2022,4,1370,2018,3388,62980,0.0697,official
Polonnaruwa,2022,5,1218,1685,2903,30207,0.0581,official
Polonnaruwa,2022,6,1247,1856,3103,32856,0.0641,official
Polonnaruwa,2022,7,1873,2784,4657,47293,0.094,official
Polonnaruwa,2022,8,1856,2498,4354,37760,0.0886,official
Polonnaruwa,2022,9,1447,1992,3439,29802,0.0709,official
Polonnaruwa,2022,10,1585,2287,3872,42026,0.0766,official
Polonnaruwa,2022,11,1820,2665,4485,59759,0.0905,official
Polonnaruwa,2022,12,2382,3308,5690,91961,0.1168,official
Polonnaruwa,2023,1,16482,10881,27363,102545,0.0911,official
Polonnaruwa,2023,2,16113,10729,26842,107639,0.0903,official
Polonnaruwa,2023,3,17180,11030,28210,125495,0.0894,official
Polonnaruwa,2023,4,12376,8640,21016,105498,0.0697,official
Polonnaruwa,2023,5,10511,7115,17626,83309,0.0581,official
Polonnaruwa,2023,6,11854,8085,19939,100388,0.0641,official
Polonnaruwa,2023,7,16797,11392,28189,143039,0.094,official
Polonnaruwa,2023,8,15943,10164,26107,136405,0.0886,official
Polonnaruwa,2023,9,12279,9095,21374,111938,0.0709,official
Polonnaruwa,2023,10,14587,9371,23958,109199,0.0766,official
Polonnaruwa,2023,11,16699,11253,27952,151496,0.0905,official
Polonnaruwa,2023,12,23147,14875,38022,210352,0.1168,official
Polonnaruwa,2024,1,5367,7326,12693,208253,0.0911,official
Polonnaruwa,2024,2,5081,7520,12601,218350,0.0903,official
Polonnaruwa,2024,3,5166,7085,12251,209181,0.0894,official
Polonnaruwa,2024,4,4039,5579,9618,148867,0.0697,official
Polonnaruwa,2024,5,3610,4938,8548,112128,0.0581,official
Polonnaruwa,2024,6,3792,5545,9337,113470,0.0641,official
Polonnaruwa,2024,7,5574,7585,13159,187810,0.094,official
Polonnaruwa,2024,8,5477,7452,12929,164609,0.0886,official
Polonnaruwa,2024,9,4061,5835,9896,122140,0.0709,official
Polonnaruwa,2024,10,4410,6078,10488,135907,0.0766,official
Polonnaruwa,2024,11,5497,7917,13414,184158,0.0905,official
Polonnaruwa,2024,12,6615,9829,16444,248592,0.1168,official
Polonnaruwa,2025,1,10600,12024,22624,252761,0.0911,official
Polonnaruwa,2025,2,10523,11779,22302,240217,0.0903,official
Polonnaruwa,2025,3,10623,11674,22297,229298,0.0894,official
Polonnaruwa,2025,4,8332,9315,17647,174608,0.0697,official
Polonnaruwa,2025,5,6846,7571,14417,132919,0.0581,official
Polonnaruwa,2025,6,7479,8785,16264,138241,0.0641,official
Polonnaruwa,2025,7,11328,12227,23555,200244,0.094,official
Polonnaruwa,2025,8,10543,12131,22674,198235,0.0886,official
Polonnaruwa,2025,9,7990,9648,17638,158971,0.0709,official
Polonnaruwa,2025,10,8908,10434,19342,165193,0.0766,official
Polonnaruwa,2025,11,10488,11459,21947,212906,0.0905,official
Polonnaruwa,2025,12,13178,15660,28838,287423,0.1168,official
Anuradhapura,2015,1,5944,8033,13977,156246,0.0911,official
Anuradhapura,2015,2,5957,7775,13732,165541,0.0903,official
Anuradhapura,2015,3,5775,7807,13582,157051,0.0894,official
Anuradhapura,2015,4,4421,6322,10743,122217,0.0697,official
Anuradhapura,2015,5,3665,5206,8871,113529,0.0581,official
Anuradhapura,2015,6,4277,5712,9989,115467,0.0641,official
Anuradhapura,2015,7,6241,8235,14476,175804,0.094,official
Anuradhapura,2015,8,5825,8375,14200,166610,0.0886,official
Anuradhapura,2015,9,4248,6270,10518,143374,0.0709,official
Anuradhapura,2015,10,5044,6900,11944,132280,0.0766,official
Anuradhapura,2015,11,5921,8049,13970,144147,0.0905,official
Anuradhapura,2015,12,7578,10532,18110,206114,0.1168,official
Anuradhapura,2016,1,6962,9488,16450,194280,0.0911,official
Anuradhapura,2016,2,6733,9216,15949,197697,0.0903,official
Anuradhapura,2016,3,6503,9119,15622,192841,0.0894,official
Anuradhapura,2016,4,5203,7108,12311,136367,0.0697,official
Anuradhapura,2016,5,4327,6380,10707,125044,0.0581,official
Anuradhapura,2016,6,4858,6564,11422,118038,0.0641,official
Anuradhapura,2016,7,7193,9601,16794,209351,0.094,official
Anuradhapura,2016,8,6139,8878,15017,186288,0.0886,official
Anuradhapura,2016,9,4939,7249,12188,148499,0.0709,official
Anuradhapura,2016,10,5658,8315,13973,150419,0.0766,official
Anuradhapura,2016,11,6743,9287,16030,167217,0.0905,official
Anuradhapura,2016,12,8834,11267,20101,224791,0.1168,official
Anuradhapura,2017,1,2224,4345,6569,219360,0.0911,official
Anuradhapura,2017,2,2092,4352,6444,197517,0.0903,official
Anuradhapura,2017,3,2189,4114,6303,188076,0.0894,official
Anuradhapura,2017,4,1720,3467,5187,160249,0.0697,official
Anuradhapura,2017,5,1416,2728,4144,121891,0.0581,official
Anuradhapura,2017,6,1533,2913,4446,123351,0.0641,official
Anuradhapura,2017,7,2337,4271,6608,205482,0.094,official
Anuradhapura,2017,8,2152,4069,6221,190928,0.0886,official
Anuradhapura,2017,9,1743,3337,5080,145077,0.0709,official
Anuradhapura,2017,10,1915,3515,5430,152429,0.0766,official
Anuradhapura,2017,11,2175,4092,6267,167511,0.0905,official
Anuradhapura,2017,12,2793,5503,8296,244536,0.1168,official
Anuradhapura,2018,1,7828,10419,18247,238924,0.0911,official
Anuradhapura,2018,2,7783,11051,18834,235618,0.0903,official
Anuradhapura,2018,3,7603,11106,18709,233382,0.0894,official
Anuradhapura,2018,4,5716,7886,13602,180429,0.0697,official
Anuradhapura,2018,5,4621,7142,11763,129466,0.0581,official
Anuradhapura,2018,6,5494,7531,13025,146828,0.0641,official
Anuradhapura,2018,7,7968,10688,18656,217829,0.094,official
Anuradhapura,2018,8,7988,10459,18447,200359,0.0886,official
Anuradhapura,2018,9,5974,8518,14492,149087,0.0709,official
Anuradhapura,2018,10,6528,9069,15597,153123,0.0766,official
Anuradhapura,2018,11,7419,10789,18208,195582,0.0905,official
Anuradhapura,2018,12,10363,14287,24650,253169,0.1168,official
Anuradhapura,2019,1,6576,8652,15228,244239,0.0911,official
Anuradhapura,2019,2,6035,8675,14710,252033,0.0903,official
Anuradhapura,2019,3,6168,8904,15072,244328,0.0894,official
Anuradhapura,2019,4,4554,7026,11580,166975,0.0697,official
Anuradhapura,2019,5,3984,5533,9517,37802,0.0581,official
Anuradhapura,2019,6,4284,5878,10162,63072,0.0641,official
Anuradhapura,2019,7,6639,9091,15730,115701,0.094,official
Anuradhapura,2019,8,5866,8211,14077,143587,0.0886,official
Anuradhapura,2019,9,4834,7178,12012,108575,0.0709,official
Anuradhapura,2019,10,5235,7054,12289,118743,0.0766,official
Anuradhapura,2019,11,6185,8652,14837,176984,0.0905,official
Anuradhapura,2019,12,7392,11242,18634,241663,0.1168,official
Anuradhapura,2020,1,666,2951,3617,228434,0.0911,official
Anuradhapura,2020,2,701,2962,3663,207507,0.0903,official
Anuradhapura,2020,3,653,2742,3395,71370,0.0894,official
Anuradhapura,2020,4,552,2214,2766,0,0.0697,official
Anuradhapura,2020,5,428,1842,2270,0,0.0581,official
Anuradhapura,2020,6,475,2026,2501,0,0.0641,official
Anuradhapura,2020,7,680,2935,3615,0,0.094,official
Anuradhapura,2020,8,651,2765,3416,0,0.0886,official
Anuradhapura,2020,9,510,2256,2766,0,0.0709,official
Anuradhapura,2020,10,559,2540,3099,0,0.0766,official
Anuradhapura,2020,11,613,2964,3577,0,0.0905,official
Anuradhapura,2020,12,892,3474,4366,0,0.1168,official
Anuradhapura,2021,1,631,883,1514,1682,0.0911,official
Anuradhapura,2021,2,605,864,1469,3366,0.0903,official
Anuradhapura,2021,3,604,922,1526,4581,0.0894,official
Anuradhapura,2021,4,501,708,1209,4168,0.0697,official
Anuradhapura,2021,5,415,550,965,1497,0.0581,official
Anuradhapura,2021,6,441,637,1078,1614,0.0641,official
Anuradhapura,2021,7,634,941,1575,2429,0.094,official
Anuradhapura,2021,8,615,858,1473,5040,0.0886,official
Anuradhapura,2021,9,506,703,1209,13547,0.0709,official
Anuradhapura,2021,10,530,776,1306,22771,0.0766,official
Anuradhapura,2021,11,612,902,1514,44294,0.0905,official
Anuradhapura,2021,12,831,1133,1964,89506,0.1168,official
Anuradhapura,2022,1,2384,3181,5565,82327,0.0911,official
Anuradhapura,2022,2,2404,3257,5661,96507,0.0903,official
Anuradhapura,2022,3,2280,3345,5625,106500,0.0894,official
Anuradhapura,2022,4,1767,2420,4187,62980,0.0697,official
Anuradhapura,2022,5,1435,2147,3582,30207,0.0581,official
Anuradhapura,2022,6,1598,2449,4047,32856,0.0641,official
Anuradhapura,2022,7,2285,3586,5871,47293,0.094,official
Anuradhapura,2022,8,2310,3204,5514,37760,0.0886,official
Anuradhapura,2022,9,1807,2602,4409,29802,0.0709,official
Anuradhapura,2022,10,1983,2871,4854,42026,0.0766,official
Anuradhapura,2022,11,2352,3296,5648,59759,0.0905,official
Anuradhapura,2022,12,2993,4229,7222,91961,0.1168,official
Anuradhapura,2023,1,6100,7147,13247,102545,0.0911,official
Anuradhapura,2023,2,5747,7632,13379,107639,0.0903,official
Anuradhapura,2023,3,5960,7351,13311,125495,0.0894,official
Anuradhapura,2023,4,4623,5820,10443,105498,0.0697,official
Anuradhapura,2023,5,3792,4693,8485,83309,0.0581,official
Anuradhapura,2023,6,4280,5148,9428,100388,0.0641,official
Anuradhapura,2023,7,6316,7380,13696,143039,0.094,official
Anuradhapura,2023,8,6058,7429,13487,136405,0.0886,official
Anuradhapura,2023,9,4738,6034,10772,111938,0.0709,official
Anuradhapura,2023,10,5335,6526,11861,109199,0.0766,official
Anuradhapura,2023,11,5669,7192,12861,151496,0.0905,official
Anuradhapura,2023,12,7600,9662,17262,210352,0.1168,official
Anuradhapura,2024,1,6839,9223,16062,208253,0.0911,official
Anuradhapura,2024,2,6711,9132,15843,218350,0.0903,official
Anuradhapura,2024,3,6486,8860,15346,209181,0.0894,official
Anuradhapura,2024,4,5006,6916,11922,148867,0.0697,official
Anuradhapura,2024,5,4170,6204,10374,112128,0.0581,official
Anuradhapura,2024,6,4606,7161,11767,113470,0.0641,official
Anuradhapura,2024,7,7055,9787,16842,187810,0.094,official
Anuradhapura,2024,8,6379,9359,15738,164609,0.0886,official
Anuradhapura,2024,9,5149,7362,12511,122140,0.0709,official
Anuradhapura,2024,10,6097,7904,14001,135907,0.0766,official
Anuradhapura,2024,11,6917,9163,16080,184158,0.0905,official
Anuradhapura,2024,12,8621,12725,21346,248592,0.1168,official
Anuradhapura,2025,1,14298,10856,25154,252761,0.0911,official
Anuradhapura,2025,2,14747,10031,24778,240217,0.0903,official
Anuradhapura,2025,3,14569,10397,24966,229298,0.0894,official
Anuradhapura,2025,4,11349,7501,18850,174608,0.0697,official
Anuradhapura,2025,5,9092,6518,15610,132919,0.0581,official
Anuradhapura,2025,6,10236,7383,17619,138241,0.0641,official
Anuradhapura,2025,7,15123,10203,25326,200244,0.094,official
Anuradhapura,2025,8,14330,10194,24524,198235,0.0886,official
Anuradhapura,2025,9,11528,8270,19798,158971,0.0709,official
Anuradhapura,2025,10,12558,8775,21333,165193,0.0766,official
Anuradhapura,2025,11,14437,9713,24150,212906,0.0905,official
Anuradhapura,2025,12,18916,13277,32193,287423,0.1168,official
Dambulla,2015,1,5351,7147,12498,156246,0.0911,official
Dambulla,2015,2,5089,7597,12686,165541,0.0903,official
Dambulla,2015,3,5202,7441,12643,157051,0.0894,official
Dambulla,2015,4,4061,5686,9747,122217,0.0697,official
Dambulla,2015,5,3481,4667,8148,113529,0.0581,official
Dambulla,2015,6,3747,5159,8906,115467,0.0641,official
Dambulla,2015,7,5408,7600,13008,175804,0.094,official
Dambulla,2015,8,5195,7121,12316,166610,0.0886,official
Dambulla,2015,9,4285,5626,9911,143374,0.0709,official
Dambulla,2015,10,4437,6165,10602,132280,0.0766,official
Dambulla,2015,11,5499,7421,12920,144147,0.0905,official
Dambulla,2015,12,7013,9099,16112,206114,0.1168,official
Dambulla,2016,1,6102,8701,14803,194280,0.0911,official
Dambulla,2016,2,6013,8667,14680,197697,0.0903,official
Dambulla,2016,3,5847,8667,14514,192841,0.0894,official
Dambulla,2016,4,4947,6408,11355,136367,0.0697,official
Dambulla,2016,5,3809,5641,9450,125044,0.0581,official
Dambulla,2016,6,4463,5872,10335,118038,0.0641,official
Dambulla,2016,7,6170,8674,14844,209351,0.094,official
Dambulla,2016,8,5648,8012,13660,186288,0.0886,official
Dambulla,2016,9,4567,6441,11008,148499,0.0709,official
Dambulla,2016,10,5084,7175,12259,150419,0.0766,official
Dambulla,2016,11,6289,8162,14451,167217,0.0905,official
Dambulla,2016,12,7987,10791,18778,224791,0.1168,official
Dambulla,2017,1,6238,8923,15161,219360,0.0911,official
Dambulla,2017,2,5982,8766,14748,197517,0.0903,official
Dambulla,2017,3,6160,8708,14868,188076,0.0894,official
Dambulla,2017,4,4817,7179,11996,160249,0.0697,official
Dambulla,2017,5,3908,5489,9397,121891,0.0581,official
Dambulla,2017,6,4315,6054,10369,123351,0.0641,official
Dambulla,2017,7,6325,9350,15675,205482,0.094,official
Dambulla,2017,8,6332,8357,14689,190928,0.0886,official
Dambulla,2017,9,4739,6900,11639,145077,0.0709,official
Dambulla,2017,10,5165,7492,12657,152429,0.0766,official
Dambulla,2017,11,6240,8288,14528,167511,0.0905,official
Dambulla,2017,12,8377,11812,20189,244536,0.1168,official
Dambulla,2018,1,6762,9532,16294,238924,0.0911,official
Dambulla,2018,2,6885,9653,16538,235618,0.0903,official
Dambulla,2018,3,6892,10033,16925,233382,0.0894,official
Dambulla,2018,4,5238,7196,12434,180429,0.0697,official
Dambulla,2018,5,4212,6016,10228,129466,0.0581,official
Dambulla,2018,6,4844,7155,11999,146828,0.0641,official
Dambulla,2018,7,7001,10022,17023,217829,0.094,official
Dambulla,2018,8,6694,9711,16405,200359,0.0886,official
Dambulla,2018,9,5766,7384,13150,149087,0.0709,official
