destination,year,month,avg_temp_max_c,avg_temp_min_c,avg_temp_c,total_rainfall_mm,rainy_days,avg_humidity_pct,sunshine_hours_daily,weather_suitability_score,season,is_peak_national
Colombo,2016,7,29.6,24.2,26.9,168.8,15,80.2,6.3,0.7826,southwest_monsoon,0
Colombo,2016,8,29.0,23.8,26.4,126.4,13,80.5,6.9,0.8329,southwest_monsoon,0
Colombo,2016,9,29.2,23.7,26.4,262.7,16,80.7,6.1,0.6949,southwest_monsoon,0
Colombo,2016,10,30.0,23.7,26.9,478.0,20,80.9,6.1,0.5284,northeast_monsoon,0
Colombo,2016,11,29.0,22.7,25.9,351.7,22,78.6,6.6,0.6263,northeast_monsoon,0
Colombo,2016,12,30.3,22.6,26.5,207.5,12,77.5,7.0,0.7629,dry_season,1
Colombo,2017,1,31.0,22.8,26.9,80.9,6,74.2,8.5,0.907,dry_season,1
Colombo,2017,2,32.2,23.3,27.8,62.0,5,71.0,8.5,0.9238,dry_season,1
Colombo,2017,3,31.4,23.6,27.5,151.2,10,71.2,7.7,0.8277,dry_season,1
Colombo,2017,4,32.5,25.1,28.8,213.5,15,73.5,7.1,0.7597,dry_season,1
Colombo,2017,5,31.2,25.3,28.2,437.8,19,80.5,5.4,0.5245,southwest_monsoon,0
Colombo,2017,6,30.4,24.8,27.6,197.2,19,82.6,5.4,0.7384,southwest_monsoon,0
Colombo,2017,7,29.9,24.4,27.1,143.4,14,81.6,6.3,0.8052,southwest_monsoon,0
Colombo,2017,8,29.5,24.1,26.8,136.1,10,82.3,6.9,0.8243,southwest_monsoon,0
Colombo,2017,9,29.6,23.9,26.8,275.7,14,82.9,6.5,0.6918,southwest_monsoon,0
Colombo,2017,10,30.2,23.8,27.0,390.0,17,79.5,6.6,0.5923,northeast_monsoon,0
Colombo,2017,11,29.6,23.0,26.3,289.8,16,79.6,6.6,0.6813,northeast_monsoon,0
Colombo,2017,12,30.7,22.9,26.8,190.0,9,81.4,7.8,0.7953,dry_season,1
Colombo,2018,1,31.1,22.8,27.0,76.7,7,72.6,7.8,0.896,dry_season,1
Colombo,2018,2,31.7,23.1,27.4,70.0,4,69.0,8.7,0.9209,dry_season,1
Colombo,2018,3,31.9,23.9,27.9,155.6,8,73.3,8.1,0.8322,dry_season,1
Colombo,2018,4,32.2,25.0,28.6,198.2,13,73.7,7.2,0.7754,dry_season,1
Colombo,2018,5,31.3,25.4,28.4,380.1,20,77.2,6.2,0.5927,southwest_monsoon,0
Colombo,2018,6,29.8,24.5,27.1,231.4,18,89.7,6.0,0.7206,southwest_monsoon,0
Colombo,2018,7,30.1,24.5,27.3,147.3,14,80.4,6.8,0.8122,southwest_monsoon,0
Colombo,2018,8,30.2,24.4,27.3,94.9,10,81.2,6.7,0.8567,southwest_monsoon,0
Colombo,2018,9,31.0,24.6,27.8,184.0,12,80.1,6.4,0.7712,southwest_monsoon,0
Colombo,2018,10,30.5,24.0,27.2,336.7,16,82.4,5.7,0.6207,northeast_monsoon,0
Colombo,2018,11,29.8,23.1,26.5,310.3,14,83.3,6.6,0.6631,northeast_monsoon,0
Colombo,2018,12,30.8,22.9,26.9,135.2,8,77.7,7.5,0.8377,dry_season,1
Colombo,2019,1,30.4,22.5,26.4,94.8,8,70.6,8.3,0.8905,dry_season,1
Colombo,2019,2,31.2,22.8,27.0,70.3,6,72.8,8.5,0.9165,dry_season,1
Colombo,2019,3,31.5,23.7,27.6,176.2,11,70.0,8.6,0.8244,dry_season,1
Colombo,2019,4,31.7,24.7,28.2,287.4,15,77.5,7.0,0.6919,dry_season,1
Colombo,2019,5,30.7,25.0,27.9,397.8,18,79.5,4.9,0.5496,southwest_monsoon,0
Colombo,2019,6,29.6,24.4,27.0,293.2,18,82.3,5.4,0.6531,southwest_monsoon,0
Colombo,2019,7,30.4,24.6,27.5,120.7,15,79.0,6.8,0.8359,southwest_monsoon,0
Colombo,2019,8,30.0,24.3,27.1,120.5,13,80.2,6.6,0.8318,southwest_monsoon,0
Colombo,2019,9,30.0,24.1,27.1,288.0,15,85.3,6.7,0.6851,southwest_monsoon,0
Colombo,2019,10,29.2,23.3,26.2,369.0,19,79.8,6.2,0.6025,northeast_monsoon,0
Colombo,2019,11,29.9,23.2,26.5,320.1,18,79.7,6.4,0.6502,northeast_monsoon,0
Colombo,2019,12,30.1,22.6,26.4,222.6,11,77.3,7.5,0.76,dry_season,1
Colombo,2020,1,30.3,22.4,26.4,95.5,8,73.0,8.3,0.8898,dry_season,1
Colombo,2020,2,31.2,22.9,27.0,91.5,6,71.6,8.5,0.8976,dry_season,1
Colombo,2020,3,31.8,23.8,27.8,191.3,12,75.6,8.2,0.8026,dry_season,1
Colombo,2020,4,31.8,24.7,28.2,287.4,16,75.7,7.1,0.694,dry_season,1
Colombo,2020,5,31.0,25.2,28.1,457.1,26,78.0,5.7,0.52,southwest_monsoon,0
Colombo,2020,6,29.5,24.3,26.9,297.3,21,83.3,6.0,0.662,southwest_monsoon,0
Colombo,2020,7,29.7,24.2,26.9,138.5,15,83.0,6.5,0.8137,southwest_monsoon,0
Colombo,2020,8,29.6,24.1,26.9,112.9,14,79.9,6.7,0.8407,southwest_monsoon,0
Colombo,2020,9,29.6,23.9,26.8,292.4,17,80.1,6.3,0.6727,southwest_monsoon,0
Colombo,2020,10,30.0,23.7,26.9,330.7,19,80.6,5.6,0.6239,northeast_monsoon,0
Colombo,2020,11,30.0,23.2,26.6,426.4,18,79.0,6.9,0.5662,northeast_monsoon,0
Colombo,2020,12,29.9,22.4,26.1,213.4,11,74.3,7.3,0.764,dry_season,1
Colombo,2021,1,30.7,22.6,26.6,108.5,7,74.4,8.1,0.8741,dry_season,1
Colombo,2021,2,30.9,22.7,26.8,73.0,5,70.5,8.7,0.9183,dry_season,1
Colombo,2021,3,31.8,23.8,27.8,160.5,11,77.3,8.4,0.8342,dry_season,1
Colombo,2021,4,31.4,24.5,27.9,262.8,17,74.4,7.3,0.7201,dry_season,1
Colombo,2021,5,30.6,24.9,27.8,354.6,18,78.5,5.3,0.5964,southwest_monsoon,0
Colombo,2021,6,30.0,24.5,27.2,243.4,20,80.8,6.4,0.7184,southwest_monsoon,0
Colombo,2021,7,29.2,24.0,26.6,147.3,17,83.4,6.1,0.7975,southwest_monsoon,0
Colombo,2021,8,29.4,24.0,26.7,89.2,12,83.5,7.2,0.8723,southwest_monsoon,0
Colombo,2021,9,29.2,23.7,26.4,236.1,16,80.1,6.2,0.7207,southwest_monsoon,0
Colombo,2021,10,30.0,23.7,26.9,312.5,18,82.0,6.0,0.6485,northeast_monsoon,0
Colombo,2021,11,30.1,23.2,26.6,280.7,18,79.7,6.1,0.6789,northeast_monsoon,0
Colombo,2021,12,29.9,22.4,26.1,227.2,11,76.1,7.4,0.7538,dry_season,1
Colombo,2022,1,31.6,23.1,27.4,105.6,7,74.3,8.0,0.8746,dry_season,1
Colombo,2022,2,31.9,23.3,27.6,59.8,5,68.5,8.9,0.9342,dry_season,1
Colombo,2022,3,31.6,23.7,27.6,108.8,10,76.0,7.9,0.8696,dry_season,1
Colombo,2022,4,32.0,24.9,28.4,270.6,11,75.9,6.8,0.7026,dry_season,1
Colombo,2022,5,31.4,25.4,28.4,362.2,18,77.4,5.3,0.5896,southwest_monsoon,0
Colombo,2022,6,30.5,24.8,27.6,232.2,16,79.9,5.5,0.7094,southwest_monsoon,0
Colombo,2022,7,29.9,24.4,27.1,147.5,14,79.9,6.2,0.7994,southwest_monsoon,0
Colombo,2022,8,29.6,24.1,26.9,105.4,11,78.6,6.5,0.8432,southwest_monsoon,0
Colombo,2022,9,30.9,24.6,27.8,243.1,16,80.8,6.0,0.7102,southwest_monsoon,0
Colombo,2022,10,30.0,23.7,26.9,366.2,16,79.8,6.2,0.605,northeast_monsoon,0
Colombo,2022,11,30.0,23.2,26.6,223.4,17,82.3,6.1,0.7298,northeast_monsoon,0
Colombo,2022,12,30.4,22.7,26.5,194.9,12,78.2,7.5,0.7847,dry_season,1
Colombo,2023,1,30.9,22.8,26.9,72.5,6,71.5,7.6,0.8956,dry_season,1
Colombo,2023,2,31.0,22.8,26.9,58.6,5,73.8,8.4,0.9248,dry_season,1
Colombo,2023,3,32.3,24.1,28.2,159.3,8,76.0,8.0,0.8268,dry_season,1
Colombo,2023,4,32.4,25.1,28.8,186.1,11,73.2,7.1,0.7841,dry_season,1
Colombo,2023,5,31.8,25.6,28.7,419.5,18,78.7,5.5,0.5429,southwest_monsoon,0
Colombo,2023,6,30.2,24.7,27.4,194.0,16,80.3,5.5,0.7433,southwest_monsoon,0
Colombo,2023,7,30.2,24.6,27.4,123.5,11,79.8,6.4,0.825,southwest_monsoon,0
Colombo,2023,8,30.4,24.6,27.5,106.3,11,82.5,6.5,0.8424,southwest_monsoon,0
Colombo,2023,9,29.6,24.0,26.8,242.1,15,79.5,6.0,0.7111,southwest_monsoon,0
Colombo,2023,10,29.6,23.6,26.6,257.6,16,79.2,6.0,0.6973,northeast_monsoon,0
Colombo,2023,11,30.6,23.5,27.1,232.0,12,77.7,6.6,0.7327,northeast_monsoon,0
Colombo,2023,12,30.7,22.9,26.8,153.5,10,74.8,7.3,0.8172,dry_season,1
Colombo,2024,1,31.2,22.9,27.0,80.8,8,68.1,8.3,0.9029,dry_season,1
Colombo,2024,2,31.2,22.9,27.0,77.5,5,70.8,8.6,0.9122,dry_season,1
Colombo,2024,3,32.2,24.1,28.2,151.5,10,73.7,8.4,0.8422,dry_season,1
Colombo,2024,4,31.9,24.9,28.4,228.4,15,75.2,7.1,0.7465,dry_season,1
Colombo,2024,5,31.4,25.4,28.4,486.6,19,82.4,6.2,0.5305,southwest_monsoon,0
Colombo,2024,6,30.1,24.7,27.4,180.1,15,81.3,5.5,0.7557,southwest_monsoon,0
Colombo,2024,7,30.0,24.5,27.2,170.3,14,82.7,6.6,0.7876,southwest_monsoon,0
Colombo,2024,8,29.1,23.9,26.5,117.7,10,83.3,7.0,0.8427,southwest_monsoon,0
Colombo,2024,9,30.3,24.3,27.3,246.4,20,81.4,6.4,0.7157,southwest_monsoon,0
Colombo,2024,10,30.3,23.9,27.1,345.3,20,79.3,5.7,0.6131,northeast_monsoon,0
Colombo,2024,11,30.2,23.4,26.8,311.8,17,81.1,6.7,0.6639,northeast_monsoon,0
Colombo,2024,12,30.4,22.7,26.5,189.0,10,76.8,7.1,0.7815,dry_season,1
Kandy,2015,1,28.0,17.1,22.6,89.6,10,76.8,7.2,0.7519,dry_season,1
Kandy,2015,2,29.5,17.7,23.6,74.3,6,75.0,7.2,0.7655,dry_season,1
Kandy,2015,3,30.1,19.1,24.6,140.8,10,76.9,7.6,0.8348,dry_season,1
Kandy,2015,4,30.1,20.3,25.2,234.0,15,76.4,6.9,0.7373,dry_season,1
Kandy,2015,5,29.0,20.5,24.8,249.6,17,83.2,6.6,0.7171,southwest_monsoon,0
Kandy,2015,6,28.2,19.8,24.0,159.2,15,83.2,5.6,0.7764,southwest_monsoon,0
Kandy,2015,7,27.4,19.2,23.3,172.7,14,78.0,5.9,0.6507,southwest_monsoon,0
Kandy,2015,8,27.4,19.2,23.3,132.7,10,77.4,6.2,0.6926,southwest_monsoon,0
Kandy,2015,9,28.2,19.4,23.8,242.0,11,79.5,5.8,0.587,southwest_monsoon,0
Kandy,2015,10,27.7,19.1,23.4,203.1,16,82.4,5.5,0.6153,northeast_monsoon,0
Kandy,2015,11,28.3,18.8,23.6,380.2,14,85.1,5.7,0.462,northeast_monsoon,0
Kandy,2015,12,27.4,17.5,22.4,194.6,11,77.7,6.3,0.6397,dry_season,1
Kandy,2016,1,27.4,16.8,22.1,100.5,9,74.6,6.9,0.7359,dry_season,1
Kandy,2016,2,28.6,17.3,23.0,84.7,5,74.2,8.1,0.7752,dry_season,1
Kandy,2016,3,30.2,19.1,24.6,113.6,11,69.2,7.4,0.8548,dry_season,1
Kandy,2016,4,29.6,20.0,24.8,213.6,17,78.5,7.2,0.7617,dry_season,1
Kandy,2016,5,29.5,20.7,25.1,217.9,17,77.6,5.8,0.7284,southwest_monsoon,0
Kandy,2016,6,28.6,20.0,24.3,187.1,17,81.9,5.5,0.7495,southwest_monsoon,0
Kandy,2016,7,27.9,19.4,23.6,177.3,16,81.2,5.6,0.6403,southwest_monsoon,0
Kandy,2016,8,27.9,19.4,23.6,133.8,14,79.6,5.8,0.6832,southwest_monsoon,0
Kandy,2016,9,28.0,19.3,23.6,242.1,12,76.9,5.7,0.5848,southwest_monsoon,0
Kandy,2016,10,27.9,19.2,23.5,271.1,14,84.4,6.0,0.5653,northeast_monsoon,0
Kandy,2016,11,27.6,18.4,23.0,353.1,18,79.9,5.6,0.484,northeast_monsoon,0
Kandy,2016,12,27.7,17.6,22.6,210.0,11,77.9,6.3,0.626,dry_season,1
Kandy,2017,1,27.9,17.1,22.5,77.8,9,76.3,6.5,0.7477,dry_season,1
Kandy,2017,2,28.7,17.4,23.0,79.7,6,70.4,7.7,0.7713,dry_season,1
Kandy,2017,3,30.0,19.0,24.5,121.5,9,74.1,7.6,0.852,dry_season,1
Kandy,2017,4,30.3,20.4,25.4,231.3,16,78.0,7.0,0.7418,dry_season,1
Kandy,2017,5,28.7,20.3,24.5,194.3,15,81.0,5.8,0.7494,southwest_monsoon,0
Kandy,2017,6,28.2,19.9,24.0,179.4,14,78.2,5.4,0.7542,southwest_monsoon,0
Kandy,2017,7,27.8,19.4,23.6,118.8,15,78.1,5.6,0.6923,southwest_monsoon,0
Kandy,2017,8,29.3,20.1,24.7,124.2,11,81.4,6.3,0.8222,southwest_monsoon,0
Kandy,2017,9,28.2,19.4,23.8,198.7,13,82.3,6.7,0.6444,southwest_monsoon,0
Kandy,2017,10,27.6,19.1,23.4,290.5,15,84.6,6.0,0.5481,northeast_monsoon,0
Kandy,2017,11,28.0,18.7,23.4,303.4,17,81.2,6.0,0.5366,northeast_monsoon,0
Kandy,2017,12,26.9,17.2,22.0,172.2,11,79.2,6.2,0.6575,dry_season,1
Kandy,2018,1,28.0,17.1,22.6,77.4,9,77.1,7.0,0.7586,dry_season,1
Kandy,2018,2,29.3,17.7,23.5,82.4,6,68.7,7.7,0.7689,dry_season,1
Kandy,2018,3,30.2,19.2,24.7,132.8,9,69.8,7.6,0.842,dry_season,1
Kandy,2018,4,30.6,20.6,25.6,210.2,13,76.1,6.9,0.7584,dry_season,1
Kandy,2018,5,29.9,21.0,25.4,202.6,13,79.1,6.0,0.7462,southwest_monsoon,0
Kandy,2018,6,28.5,20.0,24.2,169.5,16,79.2,5.5,0.7651,southwest_monsoon,0
Kandy,2018,7,28.2,19.6,23.9,126.4,13,82.1,6.3,0.7003,southwest_monsoon,0
Kandy,2018,8,27.7,19.4,23.5,113.9,11,82.1,6.5,0.7156,southwest_monsoon,0
Kandy,2018,9,28.3,19.5,23.9,215.5,12,79.1,6.6,0.6274,southwest_monsoon,0
Kandy,2018,10,28.6,19.6,24.1,326.6,14,80.4,5.3,0.6213,northeast_monsoon,0
Kandy,2018,11,27.3,18.3,22.8,272.5,14,79.9,5.5,0.5536,northeast_monsoon,0
Kandy,2018,12,27.7,17.6,22.6,210.6,11,77.6,6.0,0.6191,dry_season,1
Kandy,2019,1,27.8,17.0,22.4,112.1,10,76.3,6.6,0.7193,dry_season,1
Kandy,2019,2,29.0,17.5,23.2,87.2,7,70.9,8.3,0.7772,dry_season,1
Kandy,2019,3,29.7,18.9,24.3,136.1,13,74.8,7.3,0.8327,dry_season,1
Kandy,2019,4,29.9,20.2,25.0,213.9,14,77.3,6.8,0.753,dry_season,1
Kandy,2019,5,29.5,20.8,25.1,198.8,19,78.8,6.5,0.7601,southwest_monsoon,0
Kandy,2019,6,28.3,19.9,24.1,192.1,17,85.0,5.7,0.7492,southwest_monsoon,0
Kandy,2019,7,28.1,19.6,23.9,135.7,14,79.9,5.5,0.6752,southwest_monsoon,0
Kandy,2019,8,28.9,20.0,24.4,116.5,12,82.4,6.3,0.8291,southwest_monsoon,0
Kandy,2019,9,29.4,20.0,24.7,194.2,15,81.4,5.8,0.7495,southwest_monsoon,0
Kandy,2019,10,28.6,19.6,24.1,330.5,18,83.2,5.4,0.6199,northeast_monsoon,0
Kandy,2019,11,28.0,18.7,23.4,365.5,19,82.8,6.1,0.4835,northeast_monsoon,0
Kandy,2019,12,27.8,17.6,22.7,195.8,13,76.4,6.3,0.6386,dry_season,1
Kandy,2020,1,27.8,17.0,22.4,105.2,11,76.4,6.9,0.7318,dry_season,1
Kandy,2020,2,28.7,17.3,23.0,75.1,8,76.3,7.8,0.7775,dry_season,1
Kandy,2020,3,29.7,18.9,24.3,159.3,14,71.8,7.6,0.8184,dry_season,1
Kandy,2020,4,30.1,20.3,25.2,271.5,15,76.4,6.8,0.7018,dry_season,1
Kandy,2020,5,29.7,20.9,25.3,226.9,16,82.4,6.0,0.7246,southwest_monsoon,0
Kandy,2020,6,27.8,19.6,23.7,184.5,19,80.9,5.7,0.636,southwest_monsoon,0
Kandy,2020,7,27.9,19.4,23.6,195.9,12,80.9,5.5,0.6217,southwest_monsoon,0
Kandy,2020,8,27.9,19.4,23.6,116.0,14,78.9,6.4,0.7116,southwest_monsoon,0
Kandy,2020,9,27.8,19.2,23.5,243.9,14,83.7,6.1,0.5916,southwest_monsoon,0
Kandy,2020,10,27.4,18.9,23.1,268.7,18,81.5,5.3,0.5527,northeast_monsoon,0
Kandy,2020,11,27.5,18.4,22.9,382.3,21,79.8,5.4,0.4539,northeast_monsoon,0
Kandy,2020,12,27.8,17.7,22.8,221.5,13,78.9,6.4,0.6178,dry_season,1
Kandy,2021,1,27.9,17.0,22.4,114.7,9,75.8,7.0,0.7254,dry_season,1
Kandy,2021,2,29.2,17.6,23.4,73.8,7,69.1,8.1,0.7849,dry_season,1
Kandy,2021,3,29.8,18.9,24.4,127.7,10,71.1,7.8,0.8507,dry_season,1
Kandy,2021,4,29.1,19.8,24.5,214.3,12,77.5,6.0,0.7358,dry_season,1
Kandy,2021,5,29.5,20.7,25.1,243.6,15,80.0,5.7,0.7035,southwest_monsoon,0
Kandy,2021,6,27.8,19.6,23.7,209.1,15,81.1,5.9,0.6183,southwest_monsoon,0
Kandy,2021,7,28.1,19.5,23.8,108.1,13,78.0,5.8,0.706,southwest_monsoon,0
Kandy,2021,8,27.9,19.4,23.6,144.0,11,81.1,6.4,0.6867,southwest_monsoon,0
Kandy,2021,9,28.8,19.6,24.2,219.7,12,81.4,5.9,0.7289,southwest_monsoon,0
Kandy,2021,10,27.9,19.1,23.5,326.2,18,79.9,5.7,0.51,northeast_monsoon,0
Kandy,2021,11,28.0,18.6,23.3,336.4,15,83.5,6.4,0.5157,northeast_monsoon,0
Kandy,2021,12,27.4,17.4,22.4,175.7,10,78.8,6.2,0.6543,dry_season,1
Kandy,2022,1,28.1,17.2,22.6,87.6,10,79.5,6.9,0.7474,dry_season,1
Kandy,2022,2,29.1,17.6,23.4,76.8,7,70.0,7.6,0.7717,dry_season,1
Kandy,2022,3,29.9,19.0,24.4,105.8,11,71.0,7.6,0.866,dry_season,1
Kandy,2022,4,30.8,20.7,25.8,183.9,14,78.1,6.3,0.7692,dry_season,1
Kandy,2022,5,30.2,21.1,25.6,208.4,14,79.7,6.3,0.7474,southwest_monsoon,0
Kandy,2022,6,29.0,20.3,24.6,181.8,16,83.8,5.1,0.7458,southwest_monsoon,0
Kandy,2022,7,28.0,19.6,23.8,142.7,14,78.9,6.0,0.6795,southwest_monsoon,0
Kandy,2022,8,28.0,19.5,23.8,112.4,12,79.3,6.6,0.719,southwest_monsoon,0
Kandy,2022,9,28.8,19.7,24.2,123.8,10,79.3,6.2,0.8205,southwest_monsoon,0
Kandy,2022,10,27.6,19.1,23.4,236.7,14,81.7,5.8,0.5917,northeast_monsoon,0
Kandy,2022,11,27.8,18.6,23.2,330.5,13,82.0,5.8,0.5083,northeast_monsoon,0
Kandy,2022,12,27.4,17.5,22.4,147.4,12,79.7,6.2,0.6795,dry_season,1
Kandy,2023,1,28.0,17.2,22.6,84.6,9,76.8,6.8,0.748,dry_season,1
Kandy,2023,2,29.3,17.7,23.5,80.6,6,71.6,7.7,0.7705,dry_season,1
Kandy,2023,3,30.2,19.2,24.7,123.6,10,73.5,7.7,0.8522,dry_season,1
Kandy,2023,4,30.4,20.5,25.4,204.3,14,76.7,6.1,0.7468,dry_season,1
Kandy,2023,5,30.1,21.1,25.6,135.1,13,82.2,6.6,0.8189,southwest_monsoon,0
Kandy,2023,6,28.4,20.0,24.2,169.9,12,84.8,5.3,0.7606,southwest_monsoon,0
Kandy,2023,7,28.4,19.8,24.1,131.2,13,80.3,6.2,0.8139,southwest_monsoon,0
Kandy,2023,8,28.6,19.9,24.2,136.3,11,82.1,6.2,0.8094,southwest_monsoon,0
Kandy,2023,9,29.1,19.9,24.5,201.8,10,83.3,6.1,0.749,southwest_monsoon,0
Kandy,2023,10,27.7,19.2,23.4,272.7,14,81.7,5.3,0.5492,northeast_monsoon,0
Kandy,2023,11,28.1,18.8,23.5,308.3,15,79.5,6.3,0.5386,northeast_monsoon,0
Kandy,2023,12,28.2,17.9,23.0,194.5,10,79.4,5.9,0.6313,dry_season,1
Kandy,2024,1,27.9,17.1,22.5,117.4,9,75.7,6.9,0.7209,dry_season,1
Kandy,2024,2,29.0,17.6,23.3,71.1,8,70.3,7.2,0.7684,dry_season,1
Kandy,2024,3,29.7,19.0,24.4,105.1,10,75.3,7.3,0.8603,dry_season,1
Kandy,2024,4,30.7,20.7,25.7,211.9,16,75.4,7.4,0.7674,dry_season,1
Kandy,2024,5,28.6,20.4,24.5,301.2,13,82.0,5.6,0.6502,southwest_monsoon,0
Kandy,2024,6,29.7,20.6,25.1,210.6,16,82.7,5.8,0.7349,southwest_monsoon,0
Kandy,2024,7,28.7,19.9,24.3,150.9,14,78.5,5.9,0.7901,southwest_monsoon,0
Kandy,2024,8,28.3,19.7,24.0,96.2,11,77.8,6.2,0.845,southwest_monsoon,0
Kandy,2024,9,28.7,19.7,24.2,235.3,11,78.0,6.2,0.7214,southwest_monsoon,0
Kandy,2024,10,28.5,19.5,24.0,264.9,17,79.1,5.4,0.6782,northeast_monsoon,0
Kandy,2024,11,27.9,18.7,23.3,281.3,17,76.8,5.6,0.5479,northeast_monsoon,0
Kandy,2024,12,27.9,17.7,22.8,193.8,11,80.7,6.5,0.6446,dry_season,1
Nuwara Eliya,2015,1,19.7,10.6,15.1,129.5,16,82.1,5.2,0.5144,dry_season,1
Nuwara Eliya,2015,2,20.5,10.9,15.7,89.4,9,82.5,5.9,0.5647,dry_season,1
Nuwara Eliya,2015,3,21.2,12.0,16.6,132.9,14,77.4,5.8,0.524,dry_season,1
Nuwara Eliya,2015,4,22.5,13.8,18.1,212.3,15,85.3,5.4,0.445,dry_season,1
Nuwara Eliya,2015,5,20.6,13.8,17.2,276.6,20,84.6,4.7,0.3731,southwest_monsoon,0
Nuwara Eliya,2015,6,19.7,13.6,16.6,339.9,25,92.4,3.8,0.2979,southwest_monsoon,0
Nuwara Eliya,2015,7,19.0,13.0,16.0,259.7,28,86.4,3.9,0.3713,southwest_monsoon,0
Nuwara Eliya,2015,8,20.3,13.6,16.9,310.3,22,90.3,4.1,0.3305,southwest_monsoon,0
Nuwara Eliya,2015,9,20.2,13.3,16.8,268.4,17,85.7,4.0,0.3656,southwest_monsoon,0
Nuwara Eliya,2015,10,19.5,12.6,16.1,371.1,22,83.9,3.6,0.2659,northeast_monsoon,0
Nuwara Eliya,2015,11,19.8,12.1,15.9,386.9,21,88.5,3.5,0.2498,northeast_monsoon,0
Nuwara Eliya,2015,12,18.7,10.7,14.7,249.6,16,83.9,5.0,0.4034,dry_season,1
Nuwara Eliya,2016,1,19.7,10.6,15.1,146.9,15,82.3,5.4,0.5031,dry_season,1
Nuwara Eliya,2016,2,19.8,10.6,15.2,102.8,11,81.5,5.8,0.5507,dry_season,1
Nuwara Eliya,2016,3,22.0,12.4,17.2,165.9,14,80.4,5.7,0.4925,dry_season,1
Nuwara Eliya,2016,4,22.0,13.5,17.8,315.0,18,80.4,5.4,0.3537,dry_season,1
Nuwara Eliya,2016,5,21.1,14.0,17.6,279.3,23,83.4,4.7,0.3707,southwest_monsoon,0
Nuwara Eliya,2016,6,19.2,13.3,16.2,281.2,21,83.7,4.0,0.3543,southwest_monsoon,0
Nuwara Eliya,2016,7,19.3,13.1,16.2,430.7,26,88.2,3.9,0.2193,southwest_monsoon,0
Nuwara Eliya,2016,8,19.5,13.2,16.4,305.9,22,87.6,4.2,0.3365,southwest_monsoon,0
Nuwara Eliya,2016,9,20.0,13.1,16.6,328.4,19,88.1,4.1,0.3144,southwest_monsoon,0
Nuwara Eliya,2016,10,19.5,12.6,16.1,395.6,26,87.9,3.8,0.2484,northeast_monsoon,0
Nuwara Eliya,2016,11,19.6,12.0,15.8,412.0,23,86.0,4.5,0.2485,northeast_monsoon,0
Nuwara Eliya,2016,12,18.6,10.6,14.6,193.4,17,83.6,4.8,0.4491,dry_season,1
Nuwara Eliya,2017,1,19.7,10.6,15.1,141.0,16,82.1,5.2,0.5041,dry_season,1
Nuwara Eliya,2017,2,19.8,10.6,15.2,84.2,9,80.2,6.1,0.5736,dry_season,1
Nuwara Eliya,2017,3,22.4,12.6,17.5,161.3,15,78.3,5.9,0.5008,dry_season,1
Nuwara Eliya,2017,4,22.0,13.5,17.8,207.9,15,81.3,5.2,0.4447,dry_season,1
Nuwara Eliya,2017,5,21.3,14.1,17.7,259.2,21,86.9,4.6,0.3864,southwest_monsoon,0
Nuwara Eliya,2017,6,19.3,13.4,16.4,227.8,19,87.6,4.1,0.4038,southwest_monsoon,0
Nuwara Eliya,2017,7,18.8,13.0,15.9,236.6,24,86.8,4.1,0.396,southwest_monsoon,0
Nuwara Eliya,2017,8,18.7,12.8,15.8,234.5,17,87.4,4.4,0.4042,southwest_monsoon,0
