destination,year,month,crowd_risk_level,crowd_score_0_100,crowd_ratio,social_media_sentiment,trending,is_off_season,event_note,recommendation_action,model_used
Pinnawala,2024,1,MEDIUM,50.4,0.5044,0.632,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2024,1,HIGH,89.2,0.8923,0.931,1,0,Peak pilgrimage season,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2024,1,MEDIUM,58.0,0.5796,0.587,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2024,1,LOW,36.4,0.3644,0.377,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2024,1,MEDIUM,65.7,0.6568,0.532,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2024,1,MEDIUM,65.4,0.6535,0.662,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2024,2,MEDIUM,62.2,0.6222,0.66,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2024,2,HIGH,74.6,0.7457,0.802,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2024,2,HIGH,74.1,0.7409,0.777,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2024,2,MEDIUM,41.0,0.4103,0.713,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2024,2,MEDIUM,50.9,0.5086,0.544,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2024,2,HIGH,86.4,0.8638,0.797,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2024,2,HIGH,79.2,0.7922,0.857,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2024,2,HIGH,82.0,0.8202,0.876,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2024,2,LOW,17.2,0.1724,0.431,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2024,2,LOW,30.5,0.305,0.509,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2024,2,LOW,29.3,0.2928,0.439,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2024,2,LOW,24.6,0.2456,0.378,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2024,2,MEDIUM,52.0,0.5203,0.731,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2024,2,MEDIUM,57.8,0.5779,0.71,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2024,2,MEDIUM,50.9,0.509,0.611,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2024,2,HIGH,86.5,0.8654,0.912,1,0,Peak pilgrimage season,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2024,2,MEDIUM,61.9,0.6189,0.744,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2024,2,LOW,33.0,0.3302,0.499,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2024,2,MEDIUM,62.3,0.6227,0.632,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2024,2,HIGH,72.3,0.7233,0.701,0,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2024,3,MEDIUM,61.3,0.6132,0.671,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2024,3,HIGH,75.2,0.7517,0.789,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2024,3,MEDIUM,69.1,0.6909,0.62,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2024,3,MEDIUM,50.2,0.502,0.67,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2024,3,MEDIUM,63.3,0.6328,0.681,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2024,3,HIGH,78.4,0.7838,0.878,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2024,3,HIGH,72.4,0.7237,0.8,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2024,3,MEDIUM,68.6,0.6863,0.562,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2024,3,LOW,30.4,0.3044,0.466,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2024,3,MEDIUM,45.0,0.4501,0.636,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2024,3,LOW,35.3,0.3531,0.425,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2024,3,LOW,31.5,0.3145,0.402,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2024,3,MEDIUM,51.6,0.5158,0.674,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2024,3,MEDIUM,56.9,0.569,0.66,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2024,3,MEDIUM,48.6,0.4862,0.646,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2024,3,MEDIUM,63.3,0.6328,0.648,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2024,3,MEDIUM,55.2,0.5517,0.798,1,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2024,3,MEDIUM,41.6,0.416,0.668,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2024,3,MEDIUM,59.9,0.599,0.58,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2024,3,MEDIUM,68.7,0.6871,0.695,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2024,4,MEDIUM,57.2,0.5718,0.595,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2024,4,MEDIUM,66.3,0.6635,0.566,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2024,4,MEDIUM,61.8,0.6176,0.781,1,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2024,4,MEDIUM,52.3,0.5228,0.616,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2024,4,HIGH,95.5,0.9547,0.79,1,0,April Season - New Year festivities,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2024,4,MEDIUM,55.3,0.5535,0.654,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2024,4,MEDIUM,58.7,0.5871,0.678,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2024,4,MEDIUM,55.3,0.5533,0.743,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2024,4,MEDIUM,59.6,0.5957,0.631,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2024,4,MEDIUM,67.6,0.6764,0.576,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2024,4,MEDIUM,55.6,0.5563,0.728,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2024,4,MEDIUM,46.0,0.4598,0.661,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2024,4,MEDIUM,50.6,0.5065,0.697,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2024,4,MEDIUM,45.0,0.4503,0.571,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2024,4,MEDIUM,56.4,0.5644,0.668,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2024,4,MEDIUM,65.8,0.6581,0.671,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2024,4,MEDIUM,50.2,0.5023,0.664,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2024,4,MEDIUM,45.7,0.4566,0.607,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2024,4,MEDIUM,63.4,0.6341,0.678,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2024,4,MEDIUM,51.7,0.5172,0.689,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2024,5,LOW,33.3,0.3329,0.497,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2024,5,MEDIUM,42.3,0.4232,0.601,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2024,5,LOW,36.7,0.3669,0.475,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2024,5,MEDIUM,52.1,0.5206,0.764,1,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2024,5,MEDIUM,54.3,0.5433,0.605,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2024,5,LOW,28.7,0.2867,0.401,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2024,5,LOW,31.9,0.3188,0.47,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2024,5,LOW,30.4,0.3042,0.5,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2024,5,HIGH,78.1,0.7805,0.907,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2024,5,HIGH,77.0,0.7697,0.95,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2024,5,HIGH,84.6,0.8457,0.769,1,0,Vesak Poya pilgrimage surge,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2024,5,MEDIUM,64.4,0.6436,0.679,0,0,Vesak Poya pilgrimage,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2024,5,MEDIUM,54.4,0.5439,0.693,0,0,Vesak at the Golden Cave Temple,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2024,5,MEDIUM,51.2,0.5118,0.646,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2024,5,MEDIUM,43.1,0.4309,0.559,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2024,5,MEDIUM,58.7,0.5866,0.701,0,0,Season closes at Vesak Poya,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2024,5,MEDIUM,42.4,0.4245,0.575,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2024,5,MEDIUM,52.5,0.5245,0.673,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2024,5,MEDIUM,49.7,0.497,0.659,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2024,5,LOW,35.1,0.351,0.381,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2024,6,LOW,32.6,0.3257,0.484,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2024,6,LOW,36.9,0.369,0.513,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2024,6,LOW,27.9,0.2793,0.394,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2024,6,MEDIUM,53.3,0.5334,0.681,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2024,6,MEDIUM,41.0,0.4103,0.881,1,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2024,6,LOW,25.7,0.2571,0.518,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2024,6,LOW,29.3,0.2934,0.489,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2024,6,LOW,25.6,0.2559,0.496,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2024,6,HIGH,81.7,0.8172,0.806,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2024,6,HIGH,78.1,0.7806,0.825,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2024,6,HIGH,100.0,1.0,0.708,1,0,Poson Poya - peak pilgrimage of the year,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2024,6,HIGH,77.6,0.7757,0.723,0,0,Poson Poya pilgrimage,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2024,6,MEDIUM,46.9,0.4687,0.715,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2024,6,HIGH,72.2,0.7223,0.755,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2024,6,MEDIUM,40.5,0.405,0.691,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2024,6,LOW,4.8,0.0482,0.463,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2024,6,LOW,35.1,0.3508,0.411,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2024,6,MEDIUM,60.9,0.609,0.688,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2024,6,MEDIUM,44.9,0.4494,0.661,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2024,6,LOW,30.9,0.3094,0.501,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2024,7,MEDIUM,49.9,0.4994,0.643,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2024,7,MEDIUM,59.5,0.5946,0.702,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2024,7,MEDIUM,42.3,0.423,0.63,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2024,7,HIGH,85.9,0.8591,0.781,1,0,Esala Perahera festival,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2024,7,MEDIUM,56.6,0.5659,0.674,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2024,7,LOW,32.8,0.3279,0.505,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2024,7,MEDIUM,44.2,0.4424,0.712,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2024,7,LOW,35.1,0.3511,0.421,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2024,7,HIGH,93.6,0.9357,0.778,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2024,7,HIGH,83.8,0.8382,0.866,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2024,7,MEDIUM,66.8,0.6676,0.646,0,0,Esala season pilgrimage,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2024,7,MEDIUM,46.1,0.4609,0.589,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2024,7,MEDIUM,44.4,0.4443,0.575,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2024,7,HIGH,84.4,0.8437,0.734,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2024,7,MEDIUM,48.9,0.489,0.658,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2024,7,LOW,5.4,0.0536,0.364,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2024,7,MEDIUM,50.8,0.5079,0.651,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2024,7,HIGH,74.2,0.7417,0.848,1,0,Nallur Kandaswamy festival,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2024,7,MEDIUM,55.5,0.5555,0.614,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2024,7,MEDIUM,42.1,0.4215,0.627,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2024,8,MEDIUM,55.3,0.5531,0.69,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2024,8,MEDIUM,64.8,0.6476,0.576,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2024,8,MEDIUM,53.1,0.5312,0.533,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2024,8,HIGH,91.3,0.913,0.855,1,0,Esala Perahera festival,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2024,8,MEDIUM,55.8,0.5577,0.613,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2024,8,LOW,37.6,0.376,0.42,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2024,8,MEDIUM,40.8,0.4076,0.701,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2024,8,MEDIUM,40.7,0.4071,0.608,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2024,8,HIGH,88.8,0.8882,0.838,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2024,8,HIGH,81.2,0.8117,0.858,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2024,8,MEDIUM,65.2,0.6518,0.616,0,0,Esala season pilgrimage,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2024,8,MEDIUM,60.2,0.6017,0.687,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2024,8,MEDIUM,47.9,0.4795,0.657,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2024,8,HIGH,85.1,0.8511,0.785,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2024,8,MEDIUM,53.4,0.5342,0.638,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2024,8,LOW,5.9,0.0593,0.516,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2024,8,MEDIUM,54.1,0.5415,0.699,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2024,8,HIGH,74.6,0.7457,0.821,1,0,Nallur Kandaswamy festival,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2024,8,MEDIUM,57.9,0.5791,0.631,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2024,8,MEDIUM,45.7,0.4573,0.642,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2024,9,LOW,38.2,0.3818,0.486,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2024,9,MEDIUM,40.3,0.4028,0.776,1,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2024,9,LOW,36.1,0.3609,0.377,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2024,9,MEDIUM,50.8,0.5078,0.697,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2024,9,LOW,39.2,0.3919,0.488,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2024,9,LOW,32.0,0.3198,0.396,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2024,9,LOW,35.1,0.3513,0.409,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2024,9,LOW,33.6,0.3356,0.441,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2024,9,MEDIUM,69.0,0.6903,0.631,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2024,9,MEDIUM,63.3,0.6328,0.616,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2024,9,LOW,30.7,0.3068,0.465,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2024,9,LOW,28.3,0.2834,0.42,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2024,9,LOW,34.2,0.3418,0.464,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2024,9,MEDIUM,64.9,0.6493,0.566,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2024,9,LOW,36.6,0.3663,0.437,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2024,9,LOW,6.1,0.0609,0.539,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2024,9,LOW,39.6,0.3963,0.44,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2024,9,MEDIUM,45.0,0.4496,0.59,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2024,9,MEDIUM,52.0,0.5195,0.633,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2024,9,LOW,38.6,0.3861,0.4,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2024,10,MEDIUM,41.0,0.4104,0.742,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2024,10,MEDIUM,44.8,0.4476,0.674,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2024,10,MEDIUM,49.7,0.4966,0.626,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2024,10,MEDIUM,45.5,0.455,0.651,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2024,10,MEDIUM,40.2,0.402,0.604,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2024,10,MEDIUM,42.1,0.4205,0.68,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2024,10,MEDIUM,48.3,0.4827,0.708,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2024,10,MEDIUM,46.5,0.4652,0.604,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2024,10,MEDIUM,57.4,0.574,0.661,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2024,10,MEDIUM,44.4,0.4438,0.602,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2024,10,LOW,28.7,0.2874,0.414,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2024,10,LOW,23.2,0.2324,0.418,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2024,10,LOW,36.6,0.3656,0.459,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2024,10,LOW,20.3,0.2034,0.563,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2024,10,MEDIUM,41.9,0.419,0.615,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2024,10,LOW,7.6,0.0764,0.48,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2024,10,LOW,37.4,0.3736,0.56,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2024,10,MEDIUM,40.2,0.4024,0.622,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2024,10,MEDIUM,49.4,0.4937,0.731,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2024,10,MEDIUM,44.7,0.4474,0.724,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2024,11,MEDIUM,47.9,0.4785,0.614,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2024,11,MEDIUM,55.0,0.5501,0.653,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2024,11,MEDIUM,63.5,0.6354,0.687,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2024,11,MEDIUM,47.3,0.4733,0.641,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2024,11,MEDIUM,45.3,0.4527,0.681,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2024,11,HIGH,72.5,0.7249,0.753,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2024,11,MEDIUM,62.8,0.6278,0.727,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2024,11,MEDIUM,63.0,0.6303,0.605,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2024,11,LOW,21.6,0.2155,0.457,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2024,11,LOW,25.4,0.2542,0.454,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2024,11,MEDIUM,44.1,0.4412,0.755,1,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2024,11,LOW,33.6,0.3358,0.508,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2024,11,MEDIUM,46.5,0.4645,0.732,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2024,11,MEDIUM,42.8,0.4283,0.691,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2024,11,MEDIUM,47.4,0.4738,0.544,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2024,11,LOW,14.1,0.1411,0.328,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
